machine_id,date,operating_hours_cumulative,daily_runtime_hours,temperature_C,vibration_mm_s,pressure_psi,rpm,current_A,failure_within_7_days,failure_event
1,2023-01-01,7.6,7.56,64.0,3.006,101.55,1505.0,10.46,0,0
1,2023-01-02,14.1,6.58,64.55,3.161,101.29,1504.8,11.25,0,0
1,2023-01-03,28.8,14.66,61.42,2.652,102.84,1516.8,10.93,0,0
1,2023-01-04,40.8,12.01,65.26,,100.58,1522.7,11.08,0,0
1,2023-01-05,53.9,13.08,61.88,2.573,101.62,1514.5,10.42,0,0
1,2023-01-06,60.1,6.21,64.74,2.955,103.88,1511.1,10.66,0,0
1,2023-01-07,75.8,15.7,64.43,3.28,102.88,1506.3,11.01,0,0
1,2023-01-08,90.1,14.32,61.41,3.053,103.13,1512.5,10.81,0,0
1,2023-01-09,98.2,8.12,61.46,3.007,101.66,1503.3,10.78,0,0
1,2023-01-10,106.1,7.82,65.18,3.251,100.78,1494.4,11.11,0,0
1,2023-01-11,113.9,7.83,64.96,2.845,103.03,1523.0,10.31,0,0
1,2023-01-12,122.9,9.04,62.86,3.016,103.25,1501.8,10.57,0,0
1,2023-01-13,134.2,11.25,62.86,3.037,103.2,1507.3,10.1,0,0
1,2023-01-14,144.5,10.32,64.26,2.872,102.53,1515.1,10.3,0,0
1,2023-01-15,153.4,8.91,63.73,2.886,101.35,1521.3,10.95,0,0
1,2023-01-16,165.5,12.12,64.8,2.869,104.76,1511.9,10.35,0,0
1,2023-01-17,172.9,7.39,64.22,2.964,102.8,1500.3,10.84,0,0
1,2023-01-18,181.9,8.92,65.33,3.033,102.15,1507.5,11.12,0,0
1,2023-01-19,191.5,9.66,64.72,2.969,102.15,1504.4,10.57,0,0
1,2023-01-20,202.1,10.56,64.47,3.057,102.47,1509.6,10.78,0,0
1,2023-01-21,215.9,13.85,63.39,2.655,103.39,1519.7,10.85,0,0
1,2023-01-22,223.9,8.0,63.32,2.918,102.51,1489.6,10.26,0,0
1,2023-01-23,235.1,11.14,63.69,2.797,103.18,1506.6,10.44,0,0
1,2023-01-24,247.0,11.92,65.59,2.996,102.47,1506.0,10.32,0,0
1,2023-01-25,253.5,6.46,63.34,2.994,102.21,1499.8,10.46,0,0
1,2023-01-26,265.5,12.08,64.01,2.933,102.96,1514.5,10.84,0,0
1,2023-01-27,273.2,7.71,61.5,3.027,102.92,1498.5,10.45,0,0
1,2023-01-28,279.9,6.65,64.42,3.1,102.15,1499.5,10.61,0,0
1,2023-01-29,295.4,15.49,66.0,2.942,101.57,1516.7,10.31,0,0
1,2023-01-30,311.0,15.66,62.81,2.793,102.66,1521.9,10.99,0,0
1,2023-01-31,325.1,14.08,66.92,2.714,102.4,1509.3,10.46,0,0
1,2023-02-01,334.2,9.05,63.93,2.956,101.77,1500.1,11.08,0,0
1,2023-02-02,341.1,6.98,61.17,2.987,101.48,1504.2,10.64,0,0
1,2023-02-03,354.0,12.84,63.36,2.805,102.73,1517.9,10.2,0,0
1,2023-02-04,364.4,10.4,65.08,3.06,102.87,1510.8,10.57,0,0
1,2023-02-05,371.6,7.22,65.74,2.882,101.96,1509.1,10.31,0,0
1,2023-02-06,382.6,10.95,64.46,2.702,101.74,1512.4,10.8,0,0
1,2023-02-07,388.9,6.34,65.31,3.139,101.49,1509.6,10.55,0,0
1,2023-02-08,404.0,15.09,62.57,3.122,102.7,1522.2,10.67,0,0
1,2023-02-09,412.6,8.59,63.07,2.648,101.52,1503.9,10.51,0,0
1,2023-02-10,425.2,12.63,62.07,2.866,104.56,1503.0,10.46,0,0
1,2023-02-11,434.3,9.12,63.14,2.86,101.91,1498.8,10.33,0,0
1,2023-02-12,445.5,11.2,64.51,3.197,99.89,1505.5,10.87,0,0
1,2023-02-13,457.0,11.47,63.96,2.936,102.29,1501.1,10.57,0,0
1,2023-02-14,464.8,7.85,64.61,2.726,102.25,1511.6,10.53,0,0
1,2023-02-15,480.5,15.7,62.81,3.083,103.43,1510.0,10.56,0,0
1,2023-02-16,494.3,13.75,62.87,2.766,102.61,1501.2,10.42,0,0
1,2023-02-17,509.7,15.39,63.95,2.912,101.49,1514.6,10.53,0,0
1,2023-02-18,524.6,14.95,63.14,2.835,102.03,1522.0,10.69,0,0
1,2023-02-19,536.6,11.98,65.05,2.867,102.65,1512.7,10.31,0,0
1,2023-02-20,551.8,15.22,63.12,3.091,100.16,1489.5,10.36,0,0
1,2023-02-21,558.7,6.88,63.25,3.179,103.66,1525.8,11.04,0,0
1,2023-02-22,566.7,7.96,64.16,2.76,101.49,1515.8,10.52,0,0
1,2023-02-23,573.1,6.45,63.36,3.045,103.74,1525.5,10.46,0,0
1,2023-02-24,582.4,9.25,62.51,2.841,102.71,1518.6,10.22,0,0
1,2023-02-25,592.3,9.89,62.65,2.845,102.95,1520.2,10.88,0,0
1,2023-02-26,601.0,8.71,64.28,3.024,103.47,1511.5,10.31,0,0
1,2023-02-27,615.3,14.29,62.39,2.797,102.89,1507.8,10.62,0,0
1,2023-02-28,624.8,9.57,65.14,3.021,102.99,1512.9,10.11,0,0
1,2023-03-01,633.6,8.81,63.06,3.06,102.16,1504.2,10.87,0,0
1,2023-03-02,645.1,11.43,64.36,2.886,102.69,1513.3,10.98,0,0
1,2023-03-03,652.5,7.41,63.11,3.15,101.73,1488.9,10.77,0,0
1,2023-03-04,666.5,14.02,62.83,2.76,101.98,1510.2,10.16,0,0
1,2023-03-05,673.2,6.75,63.99,3.153,104.28,1520.6,10.88,0,0
1,2023-03-06,689.1,15.87,64.8,2.659,101.51,1510.6,10.38,0,0
1,2023-03-07,702.8,13.72,63.5,3.356,102.47,1523.7,10.27,0,0
1,2023-03-08,710.8,7.99,63.68,2.89,102.43,1507.8,10.51,0,0
1,2023-03-09,716.9,6.06,64.55,2.776,102.01,1517.9,10.5,0,0
1,2023-03-10,731.0,14.15,64.59,2.916,102.83,1502.8,10.47,0,0
1,2023-03-11,744.1,13.07,63.71,2.794,102.91,1517.6,11.01,0,0
1,2023-03-12,757.4,13.29,63.3,3.009,101.39,1511.7,11.23,0,0
1,2023-03-13,771.1,13.71,63.83,3.156,102.42,1508.1,10.21,0,0
1,2023-03-14,777.8,6.74,63.55,2.802,101.24,1489.3,10.42,0,0
1,2023-03-15,787.4,9.58,64.06,3.038,103.11,1507.8,10.67,0,0
1,2023-03-16,794.6,7.16,62.55,2.721,102.5,1511.6,10.51,0,0
1,2023-03-17,809.2,14.63,64.02,3.106,102.4,1516.5,10.74,0,0
1,2023-03-18,821.5,12.23,63.03,3.013,102.98,1522.4,10.9,0,0
1,2023-03-19,830.8,9.31,64.65,3.112,102.04,1526.1,10.85,0,0
1,2023-03-20,837.4,6.64,63.07,2.932,103.23,1519.8,10.81,0,0
1,2023-03-21,846.5,9.11,63.09,2.885,101.37,1505.4,11.12,0,0
1,2023-03-22,855.8,9.25,64.19,,103.73,1507.4,10.15,0,0
1,2023-03-23,869.1,13.3,63.76,2.755,101.77,1515.8,11.07,0,0
1,2023-03-24,881.4,12.38,66.02,2.689,100.62,1514.0,10.5,0,0
1,2023-03-25,896.3,14.87,62.12,2.95,101.99,1522.9,10.86,0,0
1,2023-03-26,907.0,10.72,63.86,2.892,101.88,1529.7,10.32,0,0
1,2023-03-27,914.2,7.2,64.88,3.034,101.98,1528.0,10.35,0,0
1,2023-03-28,927.4,13.13,63.17,3.114,102.55,1521.8,10.82,0,0
1,2023-03-29,941.0,13.61,62.83,3.031,103.42,1514.1,10.05,0,0
1,2023-03-30,952.6,11.61,62.87,3.102,102.13,1520.7,10.92,0,0
1,2023-03-31,966.3,13.71,62.13,2.999,101.63,1523.2,11.0,0,0
1,2023-04-01,977.2,10.94,65.1,3.025,101.19,1508.7,10.68,0,0
1,2023-04-02,988.5,11.23,63.42,2.933,101.85,1505.6,10.67,0,0
1,2023-04-03,998.7,10.28,63.3,3.02,100.43,1503.7,10.37,0,0
1,2023-04-04,1005.0,6.25,61.62,2.976,101.59,1502.9,10.83,0,0
1,2023-04-05,1012.1,7.08,62.31,2.999,103.56,1498.8,10.73,0,0
1,2023-04-06,1018.4,6.31,65.21,2.926,101.5,1511.9,10.35,0,0
1,2023-04-07,1030.7,12.36,64.05,3.072,102.95,1501.9,10.51,0,0
1,2023-04-08,1039.9,9.14,64.91,2.844,101.09,1503.6,10.58,0,0
1,2023-04-09,1051.0,11.09,64.79,2.948,104.09,1515.5,10.51,0,0
1,2023-04-10,1066.0,15.08,62.74,3.147,104.16,1511.3,10.22,0,0
1,2023-04-11,1074.5,8.49,66.18,2.808,102.91,1513.3,10.83,0,0
1,2023-04-12,1084.6,10.1,65.7,2.626,104.31,1520.8,10.55,0,0
1,2023-04-13,1098.2,13.56,63.18,3.006,102.68,1516.8,10.63,0,0
1,2023-04-14,1106.5,8.29,60.18,2.912,103.09,1522.0,10.45,0,0
1,2023-04-15,1113.3,6.77,63.39,3.102,103.58,1510.5,10.77,0,0
1,2023-04-16,1122.2,8.9,63.98,2.931,102.5,1522.8,10.68,0,0
1,2023-04-17,1129.8,7.61,63.18,2.86,100.77,1512.7,10.99,0,0
1,2023-04-18,1145.1,15.3,63.52,2.939,103.11,1511.2,10.77,0,0
1,2023-04-19,1159.1,14.08,62.92,3.115,101.85,1521.6,10.56,0,0
1,2023-04-20,1171.5,12.33,64.67,3.037,101.92,1502.9,10.4,0,0
1,2023-04-21,1186.2,14.71,63.81,2.586,102.62,1526.1,10.88,0,0
1,2023-04-22,1200.2,14.04,64.7,2.979,102.89,1507.6,10.54,0,0
1,2023-04-23,1208.1,7.87,64.97,2.986,102.47,1500.1,10.57,0,0
1,2023-04-24,1223.0,14.93,61.57,2.948,102.96,1515.1,10.57,0,0
1,2023-04-25,1234.4,11.39,62.97,2.859,101.61,1506.8,10.5,0,0
1,2023-04-26,1248.5,14.07,63.12,3.13,102.28,1526.1,10.58,0,0
1,2023-04-27,1263.4,14.96,66.32,3.137,103.17,1506.4,11.2,0,0
1,2023-04-28,1272.6,9.18,63.89,2.62,104.09,1512.4,10.31,0,0
1,2023-04-29,1279.7,7.1,64.56,2.831,,1498.5,10.38,0,0
1,2023-04-30,1288.0,8.28,61.86,2.929,102.75,1516.4,11.04,0,0
1,2023-05-01,1298.3,10.27,63.89,3.093,103.16,1503.6,10.51,0,0
1,2023-05-02,1312.5,14.18,64.72,2.956,104.3,1515.4,10.49,0,0
1,2023-05-03,1327.1,14.61,64.61,2.848,101.65,1506.4,10.93,0,0
1,2023-05-04,1333.1,6.07,64.37,,102.95,1493.5,10.2,0,0
1,2023-05-05,1344.2,11.11,63.76,2.919,103.09,1510.9,10.87,0,0
1,2023-05-06,1354.4,10.17,63.81,2.933,103.77,1510.6,10.64,0,0
1,2023-05-07,1362.6,8.22,62.05,2.947,101.18,1516.9,10.76,0,0
1,2023-05-08,1369.8,7.2,62.84,3.037,101.38,1522.3,10.76,0,0
1,2023-05-09,1379.2,9.38,63.98,2.904,102.34,1525.2,10.44,0,0
1,2023-05-10,1394.6,15.43,63.03,3.054,102.7,1516.8,10.94,0,0
1,2023-05-11,1403.9,9.23,64.43,2.94,103.44,1512.1,10.46,0,0
1,2023-05-12,1415.1,11.19,64.21,2.791,102.84,1498.4,10.75,0,0
1,2023-05-13,1428.1,13.03,65.11,2.945,102.17,1511.5,11.0,0,0
1,2023-05-14,1437.7,9.64,64.7,2.798,102.74,1511.6,11.04,0,0
1,2023-05-15,1453.4,15.72,63.97,2.957,102.62,1508.3,10.54,0,0
1,2023-05-16,1469.1,15.62,64.49,3.075,,1514.9,10.76,0,0
1,2023-05-17,1477.6,8.52,64.75,2.79,,1518.8,10.52,0,0
1,2023-05-18,1488.6,10.97,63.24,3.005,101.94,1503.3,11.38,0,0
1,2023-05-19,1497.6,9.01,,2.826,102.77,1503.2,10.86,0,0
1,2023-05-20,1506.4,8.85,63.65,2.981,102.52,1508.8,10.65,0,0
1,2023-05-21,1512.8,6.37,63.27,3.08,100.75,1504.9,10.72,0,0
1,2023-05-22,1524.9,12.1,64.76,2.631,102.3,1496.7,10.75,0,0
1,2023-05-23,1535.9,11.03,63.12,2.784,102.22,1501.9,10.76,0,0
1,2023-05-24,1542.4,6.51,65.0,2.895,101.78,1500.0,10.55,0,0
1,2023-05-25,1551.2,8.79,,2.998,103.36,1519.5,10.51,0,0
1,2023-05-26,1566.3,15.08,64.22,2.926,101.53,1523.5,10.58,0,0
1,2023-05-27,1574.7,8.4,63.91,2.944,102.78,1501.1,10.28,0,0
1,2023-05-28,1582.1,7.45,62.77,3.257,102.17,1514.2,10.84,0,0
1,2023-05-29,1593.0,10.89,63.73,2.769,102.43,1516.9,10.38,0,0
1,2023-05-30,1608.9,15.86,64.08,3.121,102.73,1497.9,10.31,0,0
1,2023-05-31,1617.3,8.42,63.68,2.898,101.01,1511.2,10.62,0,0
1,2023-06-01,1630.0,12.72,62.4,3.033,102.51,1530.1,10.59,0,0
1,2023-06-02,1643.6,13.62,65.45,3.27,104.61,1515.3,10.7,0,0
1,2023-06-03,1652.0,8.38,63.83,3.054,100.76,1507.9,10.45,0,0
1,2023-06-04,1665.3,13.28,62.95,3.007,102.26,1505.4,10.51,0,0
1,2023-06-05,1675.0,9.68,65.37,3.191,103.44,1493.7,10.83,0,0
1,2023-06-06,1687.3,12.32,64.36,3.119,102.62,1513.6,10.81,0,0
1,2023-06-07,1699.6,12.34,62.55,2.831,103.01,1525.4,10.8,0,0
1,2023-06-08,1711.0,11.36,62.7,2.995,99.94,1503.4,10.63,0,0
1,2023-06-09,1717.9,6.9,63.52,2.693,102.92,1494.4,10.67,0,0
1,2023-06-10,1732.3,14.35,64.04,2.87,101.56,1504.6,10.69,0,0
1,2023-06-11,1741.5,9.21,64.37,2.998,102.63,1516.9,10.43,0,0
1,2023-06-12,1749.3,7.87,64.7,2.86,102.29,1506.4,11.07,0,0
1,2023-06-13,1755.7,6.41,64.28,2.992,104.6,1503.3,11.02,0,0
1,2023-06-14,1767.6,11.91,65.09,2.949,102.87,1510.0,10.86,0,0
1,2023-06-15,1780.4,12.78,63.87,3.031,102.21,1511.7,10.5,0,0
