transaction_id,amount,hour_of_day,day_of_week,merchant_category,is_foreign_transaction,distance_from_home_km,transactions_last_24h,card_present,account_age_days,is_fraud
33554,198.54,22,5,electronics,0,14.9,3.0,0,330,0
9428,193.8,14,6,gas_station,0,16.6,3.0,1,1039,0
200,43.77,9,6,grocery,0,5.4,2.0,0,756,0
12448,104.49,14,1,online_retail,0,28.7,1.0,0,1240,0
39490,74.83,7,4,online_retail,0,14.9,2.0,0,467,0
42725,58.51,13,2,utilities,0,18.2,2.0,1,895,0
10823,36.47,5,2,entertainment,0,1.0,2.0,1,2075,0
49499,245.53,1,6,online_retail,1,217.6,3.0,0,1300,1
4145,131.6,13,1,grocery,0,15.1,4.0,1,1085,0
36959,53.01,10,5,electronics,0,76.7,5.0,0,646,0
43107,71.29,22,1,grocery,0,19.5,2.0,0,578,0
38696,55.36,17,6,gas_station,0,44.9,3.0,1,1514,0
6189,116.81,15,2,online_retail,0,36.3,0.0,1,3531,0
1415,286.9,8,2,restaurant,0,3.1,3.0,1,2451,0
18472,71.33,14,0,gas_station,0,27.0,2.0,1,3130,0
29283,130.68,15,6,grocery,0,5.3,3.0,1,2411,0
15178,48.68,17,4,online_retail,0,27.4,1.0,1,3622,0
34305,35.53,10,0,electronics,0,30.5,1.0,1,852,0
12610,153.23,10,0,online_retail,0,16.4,2.0,1,365,0
12145,105.38,14,5,restaurant,0,26.6,3.0,1,3488,0
6114,21.26,13,0,restaurant,0,3.5,3.0,0,3109,0
15909,30.4,13,4,restaurant,0,38.0,1.0,0,263,0
822,311.48,13,0,grocery,0,37.8,0.0,0,452,0
15119,100.99,11,0,gas_station,0,50.6,3.0,0,943,0
13467,151.03,11,5,electronics,0,5.7,2.0,1,557,0
26498,222.82,11,3,entertainment,0,5.8,1.0,1,682,0
42112,116.43,11,5,travel,0,29.2,3.0,1,1700,0
30189,156.06,15,1,grocery,0,38.9,1.0,1,100,0
37238,91.46,7,2,restaurant,0,4.7,1.0,0,1215,0
33110,179.52,12,0,restaurant,0,13.8,3.0,1,1032,0
36481,77.08,10,4,utilities,0,45.6,0.0,0,3328,0
24149,60.44,16,6,online_retail,0,9.5,2.0,0,3437,0
5504,31.68,8,0,restaurant,0,33.4,2.0,1,1088,0
3919,327.49,8,6,grocery,0,5.5,3.0,1,771,0
38479,50.15,15,1,grocery,0,2.3,5.0,0,2395,0
21124,145.63,9,6,gas_station,0,34.3,3.0,0,2512,0
49718,396.36,8,5,gas_station,1,305.4,7.0,0,2901,1
42295,83.27,6,0,grocery,0,4.9,2.0,0,1877,0
47610,272.24,22,0,utilities,0,15.3,2.0,0,3210,0
11077,24.55,22,1,grocery,1,17.8,0.0,1,2805,0
41515,85.22,11,4,utilities,0,15.1,1.0,1,1275,0
22063,27.58,11,5,gas_station,0,17.9,2.0,1,271,0
9414,132.9,9,4,grocery,0,,0.0,1,3196,0
38341,25.3,15,3,grocery,0,39.5,2.0,1,1527,0
30264,27.68,9,1,gas_station,0,8.1,0.0,1,1803,0
41253,68.21,10,3,restaurant,0,30.5,1.0,1,826,0
14645,35.69,12,6,grocery,0,12.4,1.0,0,2749,0
26336,77.11,7,6,restaurant,0,41.0,3.0,1,1656,0
28103,12.85,14,0,grocery,0,8.7,2.0,1,2083,0
17524,103.64,11,3,online_retail,0,,1.0,0,2155,0
24713,60.84,10,6,entertainment,0,24.4,0.0,1,1188,0
40486,21.4,8,2,gas_station,0,25.6,1.0,1,176,0
3851,25.38,8,4,grocery,0,5.5,3.0,1,1361,0
40041,8.51,11,4,entertainment,0,32.5,2.0,0,2546,0
15268,105.4,15,3,electronics,0,22.5,1.0,1,2777,0
49147,65.02,13,0,restaurant,0,33.9,2.0,1,1600,0
30002,116.68,1,3,gas_station,0,37.7,1.0,1,1187,0
45927,184.44,18,1,travel,0,11.5,0.0,0,3637,0
43825,55.31,11,3,electronics,0,14.1,4.0,1,1770,0
17241,51.81,10,6,online_retail,0,48.0,2.0,0,242,0
4893,91.36,11,6,restaurant,0,8.1,1.0,1,143,0
726,18.84,11,0,utilities,0,35.3,2.0,0,431,0
22950,92.9,10,6,grocery,0,,0.0,1,1856,0
34658,35.94,14,1,online_retail,0,28.0,,0,3224,0
37214,88.61,19,3,online_retail,0,24.4,2.0,0,1572,0
20305,65.03,12,5,restaurant,0,0.5,3.0,1,595,0
15270,9.16,22,4,restaurant,0,1.2,1.0,1,553,0
22368,70.62,11,6,travel,0,60.1,1.0,1,2341,0
42685,136.69,11,1,gas_station,0,11.5,2.0,1,1620,0
46735,168.72,12,6,restaurant,0,21.9,2.0,1,589,0
11733,43.3,18,5,online_retail,0,20.7,3.0,1,2639,0
